Newsletter Date,Scientist,Description,Picture
9/2/25,Dr. Walter E. Massey,"Dr. Walter Eugene Massey earned his Bachelor of Science in Physics (and Mathematics) from Morehouse College in 1958, followed by graduate studies at Washington University in St. Louis, where he completed his Ph.D. in Physics in 1966 with a thesis on the “Ground State of Liquid Helium—Boson Solutions for Mass 3 and 4"". Early in his career at Argonne National Laboratory, he conducted pioneering theoretical work on quantum solids and liquids—most notably explaining the anomalous dispersion of sound in superfluid helium-4 via three-phonon decay processes. As a trailblazer for African American physicists, Massey broke barriers by becoming the first African American director of Argonne National Laboratory, the first African American director of the National Science Foundation, and later president of Morehouse College. Through these roles, he championed science education, expanded opportunities for minority students, cofounded the National Society of Black Physicists, and mentored a generation of scientists.",
9/9/25,Dr. Sally Ride,"Dr. Sally Ride studied physics and English at Stanford University, where she went on to earn her Ph.D. in physics with research on the interaction of X-rays with interstellar matter, work that deepened understanding of high-energy astrophysical phenomena such as black holes and neutron stars. She later applied her scientific expertise at NASA, helping to design and operate the Space Shuttle’s robotic arm and contributing to the deployment and repair of satellites. Beyond her technical achievements, she shaped U.S. space policy and championed science education, founding programs to inspire girls and underrepresented groups to pursue physics. After her passing, it became publicly known that she had shared her life with her partner, Tam O’Shaughnessy, making her the first acknowledged queer astronaut. This legacy continues to inspire physicists by uniting her example of research excellence with authentic queer representation.",
9/15/25,Dra. Leticia del Rosario,"Dra. Leticia del Rosario was a pioneering Puerto Rican physicist who earned her B.A. from the University of Puerto Rico and her Ph.D. in physics from the University of Chicago, later conducting advanced research and directing the Nuclear Center at the University of Puerto Rico. Her work spanned nuclear physics and cosmic ray studies, including measuring lithium isotope abundances and developing new detection methods for nuclear disintegration using electron multiplier tubes. She led investigations into muon behavior at low geomagnetic latitudes and conducted atmospheric radiation experiments using high-altitude balloons. As the first Puerto Rican woman to earn her PhD in Physics, she played a key role in shaping the Puerto Rico’s scientific landscape. Del Rosario’s legacy includes both her technical contributions and her efforts to expand scientific research and education in Puerto Rico. She passed away in San Juan, Puerto Rico in 2009.",
9/22/25,Dr. Nergis Mavalvala,"Dr. Nergis Mavalvala, a Pakistani-American physicist whose pioneering research focuses on quantum measurement science and gravitational waves, earned her B.A. in physics and astronomy from Wellesley College in 1990 and her Ph.D. in physics from MIT in 1997. Over the course of her career, she has advanced precision optical and quantum measurement techniques that were critical to the success of the LIGO experiment. As a core member of the LIGO collaboration, she helped lead the effort that, in 2015, achieved the first direct detection of gravitational waves—confirming Einstein’s 1916 prediction and revolutionizing astrophysics by enabling the study of previously invisible cosmic events. Beyond her scientific achievements, Mavalvala has been a strong advocate for diversity, equity, and inclusion in physics, and in 2020 she became the first woman and the first openly queer person to serve as Dean of MIT’s School of Science, while also serving as a powerful role model for underrepresented communities in STEM.",
9/29/25,Dr. Mario Acuña,"Dr. Mario Acuña (born in Córdoba, Argentina, 1940) earned his B.A. in physics from the Universidad Nacional de Córdoba in Argentina in 1965 and his Ph.D. in space physics from the Catholic University of America in 1974. His research focused on planetary magnetism, and he developed magnetometers for major NASA missions, including Pioneer 11 (1973), Mars Global Surveyor (1996), and MESSENGER (2004), which revealed critical insights into the magnetic fields of Jupiter, Mars, and Mercury. At NASA’s Goddard Space Flight Center, he spent four decades advancing space-based instrumentation and deepening our understanding of planetary interiors. He was also dedicated to increasing diversity in science, mentoring Hispanic and Latin American researchers, and supporting programs that expand representation in STEM fields. Acuña passed away in 2009, leaving a lasting impact on both planetary science and the scientific community.",
10/6/25,Dr. Charles K. Kao,"Dr. Charles K. Kao was born in Shanghai, China, in 1933, received his bachelor's degree in 1957 from Woolwich Polytechnic (now the University of Greenwich), and earned his Ph.D. from University College London in 1965, specializing in electrical engineering and fiber optics. In 1966, Kao and George Hockham demonstrated that the primary obstacle to long-distance optical communication was not a fundamental limitation of the technology, but the presence of impurities in the glass fibers then in use. Kao proposed that with sufficiently pure glass, light signals could be transmitted over many kilometers, a concept that became the foundation for modern fiber-optic communication. This work enabled the development of high-speed internet, digital communication, and global data networks. In addition to receiving the Nobel Prize in Physics in 2009, Kao was awarded the Marconi Prize (1985) and the IEEE Alexander Graham Bell Medal (1985) for his services to fiber-optic communications. He also served as Vice-Chancellor of the Chinese University of Hong Kong, where he advanced research initiatives and promoted access to science and technology education throughout the region.",
10/13/25,Dr. Francisca Okeke,"Dr. Francisca Okeke is a Nigerian physicist who earned her Bachelor’s degree in Physics from the University of Nigeria, Nsukka in 1985 and a PhD in Atmospheric and Space Physics from the University of Leeds in 1993. Her research focuses on the ionosphere, particularly how space weather, solar activity, and geomagnetic storms affect satellite communication and navigation systems. Okeke has developed models to predict ionospheric disturbances and their impact on technology, especially in equatorial regions where such anomalies are more frequent. Her work has been vital in improving the resilience of global positioning systems (GPS) and telecommunication networks to space weather events. In recognition of her groundbreaking contributions, she was awarded the African Union Kwame Nkrumah Scientific Award in 2019 and named one of Africa’s 100 Most Influential Women in 2014. Outside of research, Okeke is a dedicated advocate for women in science, mentoring young female scientists and organizing programs to support women in STEM across Africa.",
10/20/25,Dr. Rebecca Anne Wood Elson,"Dr. Rebecca Anne Wood Elson earned her B.A. from Smith College and her Ph.D. from the University of Cambridge in 1986, where she specialized in globular star clusters, stellar evolution, and galaxy formation. Her doctoral work, she introduced the Elson–Fall–Freeman luminosity profile, demonstrating that massive young clusters have extended stellar halos, reshaping models of cluster dynamics and their role in galaxy evolution. As a researcher at Cambridge, she led major Hubble Space Telescope programs in 1993, producing high-resolution observations that advanced understanding of stellar populations in both nearby and distant galaxies. She not only contributed key insights on the chemical enrichment histories of galaxies, but also taught a pioneering science and ethics course at Radcliffe College (Harvard), designed to make the culture of astrophysics more accessible to women and nontraditional students, blending technical training with reflection on power structures in science. Through mentoring, public talks, and poetry that challenged stereotypes about who belongs in astronomy.",
10/26/25,Mary Golda Ross,"Mary Golda Ross, a member of the Indigenous Cherokee Nation, earned her BA in Mathematics from Northeastern State College in 1928 and her MA in Mathematics from Colorado University in 1938. In 1942, she became one of the first female engineers at Lockheed Martin, where she made significant contributions to the development of early spacecraft and military technology, including her work on the X-15 rocket plane and interplanetary spacecraft trajectories for NASA. Ross's research also played a pivotal role in the design of the P-80 Shooting Star, and she was instrumental in various classified aerospace projects. In addition to her technical achievements, Ross was a dedicated advocate for Native American education and worked to increase diversity and representation of Indigenous peoples and women in STEM fields.",
11/3/25,Dr. Munir Nayfeh,"Dr. Munir Nayfeh was born in Shweikeh, Palestine, who earned his B.Sc. in 1968 and M.Sc. in 1970 from the American University of Beirut, and completed his Ph.D. in physics at Stanford University in 1974, where he conducted research in atomic and laser physics. He is best known for pioneering work in nanotechnology, particularly for his discovery and synthesis of silicon nanoparticles, which paved the way for advances in solar energy, electronics, and biomedicine. As a professor at the University of Illinois at Urbana-Champaign, Nayfeh has published extensively and holds numerous patents that bridge fundamental physics with nanotechnology innovation. Beyond his laboratory achievements, he has been an active advocate for Arab and Palestinian representation in science, promoting collaboration between researchers in the Middle East and the global scientific community.",
11/10/25,Dr. Nguyễn Ai Việt,"Dr. Nguyễn Ai Việt completed his Bachelor’s degree in Physics at the Belarus National University in 1974 and earned his Ph.D. in physics from the University of Hanoi in 1982 and Ph.D. in theoretical physics from Lomonosov Moscow State University in 1989. His research in quantum field theory and statistical mechanics focused on understanding phase transitions, critical phenomena, and the mathematical modeling of complex systems. He developed influential models in condensed matter physics, particularly on the behavior of magnetic systems at critical points. He made key contributions to the mathematical formulation of quantum statistics. In addition to his research, he played a pivotal role in shaping Vietnam’s scientific community, mentoring numerous students and advocating for greater recognition of Vietnamese physicists on the global stage. His work remains foundational to the development of modern physics in Vietnam.",
11/17/25,"Dr. Sylvester James Gates, Jr.","Dr. Sylvester James Gates, Jr. earned his B.A. in Mathematics from the University of Pennsylvania in 1973 and his Ph.D. in Physics from the Massachusetts Institute of Technology (MIT) in 1977. A prominent figure in theoretical physics, Gates is recognized for his influential work in supersymmetry, supergravity, and string theory, which have advanced our understanding of the fundamental forces of nature. His research on mathematical structures in physics has led to significant contributions, including the development of the ""Gates' model"" in supersymmetry, shaping the field of quantum field theory. He advances diversity in science by mentoring underrepresented students, serving on national STEM advisory committees, and actively promoting equitable access to scientific education through public lectures and outreach programs.",
12/1/25,Dr. Margaret Eliza Maltby,"Dr. Margaret Eliza Maltby earned her B.S. in Physics from MIT in 1891 and her Ph.D. in Physics from the University of Göttingen in 1895, where she studied under Walther Nernst. Not only was she the first woman to graduate with a B.S. at MIT, she was also the first woman to earn a Ph.D. in Physics at any German University. Her research focused on electrical conductivity and electrolytic resistance, particularly the behavior of ions in dilute solutions, and she made significant contributions to physical chemistry and electrochemistry. Maltby developed methods for accurately measuring high resistances in electrolytic cells, improving techniques for analyzing ionic mobility and conductivity in solutions. Beyond her scientific work, she was a staunch advocate for women in academia, serving on the AAUW Fellowship Committee and helping to establish the Margaret E. Maltby Fellowship to support female researchers. Maltby's work was widely recognized, as she was included in the American Men of Science listing and remained a respected figure throughout her career.",
