,,,
Name,Date in Newsletter,Description,Column 1
Dr Shirley Ann Jackson,2/4/25,"Dr Shirley Ann Jackson was one of the first African American students to attend MIT and was there for both her Bachelor’s and Doctorate. She graduated with a Ph.D. in Theoretical Elementary Particle Physics in 1973 and was the first African-American woman to do so in any field at the institution. Her work in theoretical physics, solid-state physics, quantum physics, and optical physics at Fermilab and AT&T Bell labs served as a foundation for things like Caller ID, caller waiting, and fiber optics cables now used in high-speed internet. Her revolutionary work also allowed her to work with Presidents Bill Clinton and Barack Obama, as well as be the President of Rensselaer Polytechnic Institute from 1999-2022. She currently works on the Nature Conservancy Global Board.",
Physicist Satyendra Nath Bose,2/11/25,"Physicist Satyendra Nath Bose was a revolutionary in his discoveries in general relativity and theoretical physics, and is often recognized as being the godfather of quantum statistics. Alongside Albert Einstein, Bose’s quantum statistics led to the discovery of the Bose-Einstein Condensate in the 1920s, which, while not directly given a Nobel Prize, made way for a new wave of Nobel Prizes in particle statistics inspired by Bose’s work. Bose received a Bachelor of Science in mixed mathematics in 1913 from Presidency College and a Master of Science in the same subject in 1915 from Calcutta University. He also worked with philosophy and the Indian Independence movement in the 1950s, and he continued his research in Calcutta until he died in 1974.",
Dr. Lise Meitner,2/19/25,"Dr. Lise Meitner was an Austrian-Swedish nuclear physicist, known most for her work in defining the process of nuclear fission. She was the second woman to receive her doctorate from the University of Vienna in 1906, and later became the first woman in Germany to hold a full professorship in Physics, at the University of Berlin in 1926, where she started her research into fission (although it was not called this yet) with a colleague Otto Hahn. During her research, World War II was waged, forcing her to flee Germany in 1938 due to anti-semitic exclusion laws. Despite these trials, she continued her work in fission in Sweden and was the first to articulate how fission occurred. However, due to Hahn’s decision to isolate her name from the research, he alone received the Nobel Prize in Chemistry in 1944. It is heavily regarded that she was snubbed in the process, and she is remembered in high regard. [Thank you for the anonymous suggestion!]",
Dr. Edward Witten,2/24/25,"Dr. Edward Witten is an American theoretical physicist most well known for his work in superstring theory, topological quantum field theory, and quantum gravity. He received his Bachelor’s at Brandeis University in 1971, his Master’s in 1974, and PhD in 1976, from both Princeton University. In the early 80s, his research into general relativity led to the awarding of the Fields Medal by the International Mathematical Union in 1981, making him the first to receive the award for a physics-based mathematical insight. In the late 1980s, his research led him to coin ‘topological quantum field theory,’ which later provided the framework for mathematical theory in knots and 3-manifolds. He also made notable discoveries in supersymmetric quantum mechanics and string theory, specifically in defining M-theory, which unified varied versions of superstring theory.  [Thank you for the anonymous suggestion!]",
Dr. Jocelyn Bell Burnell,3/3/25,"Dr. Jocelyn Bell Burnell is an astrophysicist from Northern Ireland who is known most notably for the discovery of pulsars via radio telescope in 1967. Her career had been rooted in fighting for women in physics/ astronomy spaces. In (our equivalent of) high school, she and her family fought against the ban on women being taught science in her school. She was then the only woman in her year in physics at the University of Glasgow, where she graduated with her Bachelor’s in 1965. As a graduate student/postdoctorate at Cambridge, she would primarily examine long (as in miles long) paper charts of radio signals captured from observations of the sky. It was in these examinations that she found a pulsating pattern, hence the name “pulsars.” Her discovery earned a Nobel Prize in Physics in 1974, although she was not appointed an awardee, as it was instead given to her mentors only—it is heavily regarded that she was snubbed. She, however, has received several other awards in light of this discovery years later. She has been a trailblazer in being the first woman to hold leadership roles in several universities and research institutions, and is a consistent advocate of diversity in physics and astronomy. She is currently a visiting scholar at Oxford.",
Hedy Lamarr,3/10/25,"Hedy Lamarr was a woman of glamour and science, as she is known both as the “Mother of Wi-Fi” and “The Most Beautiful Woman in Film.” Lamarr was born in Austria in 1914 to a Jewish family and was involved in film and theater at an early age, where she would gain major international recognition by the mid-1930s. She would flee Austria—due to both the progression of anti-Jewish laws and her abusive husband’s war connections—to London and later Hollywood. As she continued to act in Hollywood, her childhood love of invention turned toward fighting the Axis powers as she worked with circuitry and radio frequencies. She would help define and patent an encryption system, now called 'frequency hopping.' While this technology was initially used for war, the encryption methods would be a normalized tool required by government messaging systems and later used for phone calls, Bluetooth, and Wi-Fi. Lamarr might not have had any academic training in the sciences, but her contributions to modern-day technology are hard to ignore.",
Dr. Sabrina Gonzalez Pasterski,3/17/25,"Dr. Sabrina Gonzalez Pasterski is a high-energy theorist focusing on gravitational waves/ lensing and quantum interpretations in cosmology. Pasterski is a first-generation Cuban American from Chicago. At an early age, she showed great intuition for Physics and Engineering, being a part of gifted programs and building and flying her own plane at 14. She earned her Bachelor’s from MIT in 2013 (in 3 years) and her PhD from Harvard in 2019. While at Harvard, she discovered gravitational spin memory, a form of the gravitational memory effect. She later pioneered the Celestial Holography Initiative, which hopes to encode the universe into a hologram to better understand and unite spacetime with quantum theory. She is currently at the Perimeter Institute, where she focused on the symmetry of QED, interpretations of quantum gravity, and ​​discovering infinite dimensional symmetry enhancements of the S-matrix.",
Dr. Chien-Shiung Wu,3/31/25,"Dr. Chien-Shiung Wu, also called “The First Lady of Physics,” is known most notably for her contributions to theoretical and experimental nuclear and particle physics. She was born in 1912 in China and received her Bachelor’s degree from Nanjing University in 1934. She later went to the University of California, Berkeley for her PhD in Physics via encouragement from family, her mentor, Professor Gu Jing-Wei, and then Berkeley Professors Ernest Lawerence and Emilio Segrè. After she completed her PhD in 1940, she went on to Smith and Princeton and worked on the Manhattan Project at Columbia University until 1945. When working on this project, she was able to make constraints on the law of conservation of pairty when discovering beta particles from cobalt-60 were emitted asymmetrically. This discovery led to the standard model as we know it today. Unfortunately, her coworkers alone received the Nobel Prize for the discovery in 1957.",
Dr. Bibha Chowdhuri ,4/7/25,"Dr. Bibha Chowdhuri was an Indian particle physicist with an emphasis on cosmic rays and air showers. She was born in 1913, a time when her parents emphasized getting an education, but the society around her did not. Despite discouragement, she earned her Master’s from Calcutta University in 1936 as the only woman in her class. She started researching cosmic rays under DM Bose in 1936 but quickly ran into equipment development issues when WWII broke out. They laid the foundation for Cecil Power to find a new particle and win the Nobel Prize in 1950, for which he vaguely credits Bose and Chowdhuri. In 1945, Chowdhuri moved to the University of Manchester to continue her work and gain her PhD, specifically analyzing “Extensive Air Showers Associated with Penetrating Particles.” It was via this work that she became the first woman faculty member at the Tata Institute of Fundamental Research in Mumbai, where she discovered K mesons. Unfortunately, much of her discoveries and work were scrubbed from records, and credit was given to others. Proper recognition for her work was not given until after she died in 1991.",
Dr. Nina Vedeneyeva ,4/15/25,"Dr. Nina Vedeneyeva was a Soviet crystallographer who notably made advancements in crystal-optical observation. She was born in 1882, and graduated with a chemistry degree from the USSR Academy of Sciences in 1912. In the following years when teaching, she would phase from chemistry teachings to atomic matter, radioactivity, and pedagogy, leading her to find an interest in Crystallography. Between 1920 and 1930, she would teach at different institutions and meet her eventual lover, Sophia Parnok (a well-known poet of the era, many of her poems being love poems to Vedeneyeva). In 1930, Vedeneyeva became the department head of crystal optics at the All-USSR Institute of Mineral Resources in Moscow. Here, she would start to study the nature of the colorations of natural and synthetic transparent crystals. Vedeneyeva completed her doctorate in Physical and Mathematical Sciences in 1937 and moved to the Institute of Geological Sciences of the National Academy of Sciences of the USSR to head the optical section in 1941. She would continue researching smoky quartz and its different properties until her death on New Year’s Eve in 1955. In her lifetime, she was given several awards, signifying her as a key geologist in method and invention, and she is known both in Russia and internationally for her progress.",
Dr. Emmy Noether,4/21/25,"Dr. Emmy Noether was a notable German mathematician and physicist, whose work in abstract algebra and topology allowed her to define integral theorems of symmetry. She was born in Germany in 1882 to a Jewish family, who were well-established in mathematics. She received her Bachelor’s in Mathematics from the University of Erlangen and completed her doctorate at the University of Göttingen in 1907. From here, she found it challenging to find an academic position as women were excluded then. In 1915, David Hilbert recommended that she join the mathematics department at the University of Göttingen. After being rejected, she still secretly worked in the department until her approval in 1919. During this time of ‘secret teaching’, she established many proofs and was asked to look into general relativity by Hilbert. She established Noether’s theorem, which defines angular momentum and energy. In 1933, she was fired from her position due to antisemitic exclusion laws in Nazi Germany. She fled to the US with Albert Einstein and died in 1935.",
Dr. Ronald E. Mickens,4/28/25,"Dr. Ronald E. Mickens is an American physicist and mathematician who is revered for his work on nonlinear dynamics, and for being an advocate for Black physicists worldwide. Born in 1943, in Virginia, he latched onto physics at an early age, later graduating with a Bachelor’s degree in Mathematics and Physics in 1964 from Fisk University. He went on to focus on theoretical physics and graduated with his Ph.D. from Vanderbilt University in 1968, and went to MIT for postdoctoral studies until 1970, when he returned to Fisk. While at Vanderbilt and MIT, he focused on studying intensely interacting particles at high energies. At Fisk, this shifted to nonlinear, ordinary differential equations with an interest in chemical reaction rate theory. Outside of research, Mickens was an active member of the American Physical Society and acted as a historian of the National Society of Black Physicists, where he documents the history of Black scientists who impacted mathematics and physics. He is currently the Fuller E. Callaway Professor of Physics at Clark Atlanta University.",
